date,hpi_index,mort_rate_1y,mort_rate_float,ocr,dwellings_consent_count,net_migration_nz,filled_jobs_nz,new_listings_akl,total_stock_akl,sales_count_akl,days_to_sell_akl,median_price_akl,y_log,y_diff,sales_count_akl_lag1,sales_count_akl_lag2,sales_count_akl_lag3,days_to_sell_akl_lag1,days_to_sell_akl_lag2,days_to_sell_akl_lag3
2022-08-31,3577.0,5.48,6.54,3.0,1882.0,2510.0,777101.0,2743.0,10245.0,1477.0,48.0,1100000.0,8.182279739259018,-0.007519879469210622,1419.0,1618.0,1761.0,45.0,44.0,43.0
2022-09-30,3533.0,5.72,6.65,3.0,2213.0,5460.0,780531.0,2680.0,10159.0,1633.0,45.0,1045000.0,8.169902647359145,-0.01237709189987335,1477.0,1419.0,1618.0,48.0,45.0,44.0
2022-10-31,3550.0,6.18,6.99,3.5,1589.0,5660.0,785924.0,3249.0,10340.0,1554.0,43.0,1090000.0,8.174702882469461,0.004800235110316464,1633.0,1477.0,1419.0,45.0,48.0,45.0
2022-11-30,3487.0,6.46,7.33,4.25,1961.0,9570.0,796263.0,3450.0,10870.0,1797.0,40.0,1065000.0,8.156797046675651,-0.01790583579381,1554.0,1633.0,1477.0,43.0,45.0,48.0
2022-12-31,3414.0,6.82,7.81,4.25,1302.0,9020.0,794720.0,1576.0,9708.0,1327.0,39.0,1050000.0,8.135639903354386,-0.021157143321264726,1797.0,1554.0,1633.0,40.0,43.0,45.0
2023-01-31,3359.0,6.86,7.8,4.25,1064.0,9510.0,780131.0,2011.0,9950.0,943.0,51.0,940000.0,8.119398589612294,-0.0162413137420927,1327.0,1797.0,1554.0,39.0,40.0,43.0
2023-02-28,3351.0,6.91,7.84,4.75,1289.0,10570.0,792283.0,2755.0,10426.0,1049.0,57.0,1009000.0,8.11701408773731,-0.0023845018749835134,943.0,1327.0,1797.0,51.0,39.0,40.0
2023-03-31,3331.0,6.97,7.98,4.75,1814.0,17060.0,798965.0,3143.0,10541.0,1823.0,45.0,1000600.0,8.11102783819368,-0.005986249543630251,1049.0,943.0,1327.0,57.0,51.0,39.0
2023-04-30,3296.0,7.11,8.27,5.25,1331.0,14330.0,804055.0,2516.0,10106.0,1258.0,43.0,995000.0,8.100464891029363,-0.010562947164316938,1823.0,1049.0,943.0,45.0,57.0,51.0
2023-05-31,3283.0,7.18,8.37,5.5,1438.0,13710.0,806442.0,2567.0,9670.0,1793.0,46.0,995000.0,8.096512917501594,-0.003951973527769326,1258.0,1823.0,1049.0,43.0,45.0,57.0
2023-06-30,3310.0,7.35,8.45,5.5,1377.0,12390.0,808150.0,2213.0,9021.0,1868.0,47.0,1000000.0,8.104703468371108,0.008190550869514368,1793.0,1258.0,1823.0,46.0,43.0,45.0
2023-07-31,3347.0,7.49,8.51,5.5,1483.0,7310.0,808549.0,2309.0,8593.0,1645.0,44.0,990000.0,8.115819701211327,0.011116232840219453,1868.0,1793.0,1258.0,47.0,46.0,43.0
2023-08-31,3388.0,7.59,8.58,5.5,1142.0,12960.0,810273.0,2894.0,8651.0,1819.0,41.0,1010000.0,8.127995055771946,0.012175354560618246,1645.0,1868.0,1793.0,44.0,47.0,46.0
2023-09-30,3414.0,7.64,8.59,5.5,1289.0,9890.0,811141.0,2858.0,8873.0,1770.0,39.0,1015000.0,8.135639903354386,0.007644847582440661,1819.0,1645.0,1868.0,41.0,44.0,47.0
2023-10-31,3462.0,7.73,8.61,5.5,1179.0,7440.0,819420.0,3415.0,9482.0,1954.0,36.0,1040000.0,8.149601735736155,0.013961832381768957,1770.0,1819.0,1645.0,39.0,41.0,44.0
2023-11-30,3506.0,7.75,8.61,5.5,1164.0,7110.0,824546.0,3811.0,10322.0,2071.0,37.0,1052000.0,8.16223106548118,0.01262932974502462,1954.0,1770.0,1819.0,36.0,39.0,41.0
2023-12-31,3425.0,7.76,8.61,5.5,918.0,6950.0,824140.0,1392.0,8936.0,1478.0,37.0,1050000.0,8.138856750696325,-0.023374314784854633,2071.0,1954.0,1770.0,37.0,36.0,39.0
2024-01-31,3433.0,7.76,8.61,5.5,885.0,3880.0,807363.0,2461.0,9616.0,796.0,54.0,975000.0,8.141189793457691,0.002333042761366144,1478.0,2071.0,1954.0,37.0,37.0,36.0
2024-02-29,3481.0,7.73,8.61,5.5,1234.0,3610.0,814350.0,4519.0,11570.0,1685.0,50.0,1026000.0,8.15507488781144,0.013885094353748073,796.0,1478.0,2071.0,54.0,37.0,37.0
2024-03-31,3413.0,7.67,8.61,5.5,1259.0,3720.0,818937.0,4129.0,12408.0,2000.0,39.0,1050000.0,8.135346948906706,-0.019727938904733122,1685.0,796.0,1478.0,50.0,54.0,37.0
2024-04-30,3357.0,7.67,8.61,5.5,1282.0,2920.0,816546.0,3550.0,12761.0,1757.0,44.0,1050000.0,8.118802996980035,-0.01654395192667124,2000.0,1685.0,796.0,39.0,50.0,54.0
2024-05-31,3331.0,7.6,8.61,5.5,1276.0,1960.0,811823.0,3338.0,12368.0,1846.0,46.0,1025000.0,8.11102783819368,-0.007775158786355263,1757.0,2000.0,1685.0,44.0,39.0,50.0
2024-06-30,3330.0,7.6,8.61,5.5,744.0,1910.0,806862.0,2943.0,12162.0,1287.0,47.0,1048000.0,8.110727582974489,-0.0003002552191908592,1846.0,1757.0,2000.0,46.0,44.0,39.0
2024-07-31,3269.0,7.41,8.61,5.5,1290.0,1640.0,801306.0,2883.0,11650.0,1805.0,48.0,950000.0,8.092239406724211,-0.018488176250277988,1287.0,1846.0,1757.0,47.0,46.0,44.0
2024-08-31,3299.0,7.05,8.45,5.25,1228.0,780.0,800680.0,2900.0,11133.0,1801.0,51.0,960000.0,8.101374671228582,0.009135264504370966,1805.0,1287.0,1846.0,48.0,47.0,46.0
2024-09-30,3359.0,6.9,8.45,5.25,1362.0,680.0,799644.0,3311.0,11256.0,1881.0,48.0,970000.0,8.119398589612294,0.018023918383711646,1801.0,1805.0,1287.0,51.0,48.0,47.0
2024-10-31,3364.0,6.53,8.11,4.75,1221.0,490.0,801528.0,4103.0,11916.0,2113.0,41.0,1000500.0,8.120886021092838,0.0014874314805446431,1881.0,1801.0,1805.0,48.0,51.0,48.0
